ID,Ime,Drzava,Datum_ustanovitve,Opis
1041,Silicon Studio,Japan,2000,They still develop game middlewares but their game contents division was sold to CREEK & RIVER.[34]
1042,Silmarils,France,1987,Defunct in 2003.
1043,Simon & Schuster Interactive,United States,1995,Defunct in 2003.
1044,Simtex,United States,1988,Closed in 1997
1045,Simulations Canada,Canada,1977,No longer publishes video games.
1046,Sinclair Research Ltd.,UK,1973,"Brand name sold to Amstrad in 1985, which continued to use it as a label until 1992."
1047,SingleTrac,United States,1994,Defunct in 2000
1048,Sir-Tech,United StatesCanada,1979,
1049,Sirius Software,United States,1980,Defunct in 1984.
1050,Slant Six Games,Canada,2005,Defunct in 2013
1051,Sledgehammer Games,United States,2009,Subsidiary of Activision
1052,Slightly Mad Studios,United Kingdom,2008,Acquired by Codemasters in 2019[35]
1053,Slipgate Ironworks,Denmark,2017,Formed by former employees of Interceptor Entertainment
1054,Slitherine,UK,2000,"Publisher of strategy and wargames on PC, Mac, mobile and home consoles."
1055,Slitherine Software,United Kingdom,2000,
1056,Smilegate,South Korea,2002,
1057,Snail,China,2000,
1058,Snapshot Games,Bulgaria,2013,Acquired by Embracer Group in 2020.[18]
1059,Snowblind Studios,United States,1997,Subsidiary of Warner Bros. Interactive Entertainment; defunct in 2012
1060,Sobee Studios,Turkey,2000,Merged into TTNET
1061,Soedesco,The Netherlands,2001,
1062,Soft-World,Taiwan,1983,
1063,SoftKey,United States,1978,"Known as Micro International Corp. until 1989, and as WordStar International Inc. until 1994. Changed name to The Learning Company in 1996; continued to use the SoftKey label on some software until 1999, when the company was acquired by Mattel."
1064,SoftSide,United States,1978,Defunct in 1984.
1065,Softape,United States,1978,Defunct in 1983.
1066,Softdisk,United States,1981,Defunct in 2016.
1067,Softek International Ltd,UK,1980,Defunct in 1989. Published some games under the label The Edge.
1068,Softstar,Taiwan,1988,
1069,Software 2000,Germany,1987,Closed in 2002
1070,Software Dynamics,Canada,1987,
1071,Software Projects,UK,1983,Defunct in 1985.
1072,Sony Imagesoft,United States,1989,Initially known as CSG Imagesoft. Defunct in 1995.
1073,Sony Interactive Entertainment,United States,1994,"First-party developer, publisher and console manufacturer"
1074,Sony Pictures Digital,United States,1997,Publisher of mobile phone games.
1075,Sora Ltd.,Japan,2005,
1076,SouthPeak Games,United States,1996,
1077,Spectral Associates,United States,1980,Published last game in 1988.
1078,Spectravideo,United States,1981,Published Atari 2600 games under the label Spectravision. Defunct in 1988.
1079,Spectrum HoloByte,United States,1983,Also a video game developer. Acquired by Hasbro Interactive.
1080,Spellbound Entertainment,Germany,1994,Closed in 2012
1081,Spiders,France,2008,Acquired by Bigben Interactive (latterly Nacon) in 2019[36]
1082,Spike,Japan,1991,Merged with Chunsoft to become Spike Chunsoft in 2012
1083,Spike Chunsoft,Japan,2012,The result of a merger between Spike and Chunsoft and is owned by Dwango
1084,Spil Games,Netherlands,2001,Web game developer/publisher. Acquired by Azerion.[37][38]
1085,Spinnaker Software,United States,1982,Acquired by The Learning Company in 1994.
1086,Splash Damage,United Kingdom,2001,Acqured by Leyou in 2016 and then acquired by Tencent in 2020
1087,Sproing Interactive Media,Austria,2001,Defunct in 2017; their assets were acquired by Purple Lamp Studios
1088,Squad,Mexico,2009,
1089,Square,Japan,1986,Also a video game developer. Merged with Enix to create Square Enix.
1090,Square Electronic Arts,United States,1998,Owned by Square and Electronic Arts. Folded back into Square and changed to Square Enix.
1091,Square Enix,Japan,1975,Developer/publisher; previously known as Square Co. and Enix
1092,Square Enix Europe,UK,1990,"Also a video game developer. Acquired by SCi Games in 2005, then by Square Enix in 2009. Formerly known as Eidos Interactive until 2009."
1093,Stainless Games,United Kingdom,1993,
1094,Stainless Steel Studios,United States,1998,Closed in 2005
1095,Starbreeze Studios,Sweden,1998,
1096,Stardock,United States,1991,Developer/publisher
1097,Starpath,United States,1981,Defunct in 1984.
1098,Stern Electronics,United States,1977,Ceased video game production in 1985.
1099,Sting Entertainment,Japan,1989,
1100,Stoic Studio,United States,2011,Founded by former employees of BioWare
1101,Storm Impact,United States,1989,Defunct in 1997.
1102,StormRegion,Hungary,2001,Acquired by 10tacle Studios AG in 2007 and then defunct in 2008
1103,Stormfront Studios,United States,1988,Defunct in 2008.
1104,Strategic Simulations,United States,1979,Closed in 1994
1105,Strategic Simulations (SSI),United States,1979,"Also a video game developer Acquired by Ubisoft, name retired."
1106,Strategic Studies Group,Australia,1983,No longer publishes video games. Their games are now published by Matrix Games.
1107,Strategy First,Canada,1988,
1108,Strawdog Studios,United Kingdom,2003,
1109,Straylight Studios,New Zealand,2004,Closed in 2009
1110,Streamline Studios,Malaysia,2001,
1111,Studio Liverpool,United Kingdom,1984,"Former Division of SIE Worldwide Studios; shut down by Sony on August 22, 2012"
1112,Studio Wildcard,United States,2014,
1113,Studio e.go!,Japan,1998,Defunct in 2009.
1114,Sublogic,United States,1975,Acquired by Sierra in 1995.
1115,Success,Japan,1978,
1116,Sucker Punch Productions,United States,1997,Division of SIE Worldwide Studios since 2011
1117,Sumo Digital,United Kingdom,2003,
1118,Sunflowers Interactive Entertainment Software,Germany,1993,Acquired by Ubisoft in 2007.
1119,Sunrise Interactive,Japan,1998,Defunct in 2008.
1120,Sunsoft,Japan,1981,"Closed U.S. offices, operates out of Japan."
1121,Sunstorm Interactive,United States,1995,Defunct in 2003
1122,Super Fighter Team,United States,2004,
1123,SuperVillain Studios,United States,2004,acquired by Nicalis in 2017
1124,Supercell,Finland,2010,Subsidiary of Tencent
1125,Superior Software,UK,1982,
1126,Supermassive Games,United Kingdom,2008,
1127,Supersoft,UK,1978,Ceased publishing video games in 1985.
1128,Survios,United States,2013,
1129,Suzy Soft,Croatia,1985,Software division of Suzy Records. Defunct in 1988.
1130,Swingin' Ape Studios,United States,2000,Acquired by Blizzard Entertainment
1131,Sydney Development Corporation,Canada,1978,Defunct in 1989.
1132,Syn Sophia,Japan,1995,
1133,Synapse Software,California,1981,Purchased by Broderbund in 1984. Defunct in 1986.
1134,Synergistic Software,United States,1978,Acquired by Sierra in 1996; defunct in 1999.
1135,System 3,UK,1982,Also a video game developer.
1136,System Sacom,Japan,1981,No longer publishes video games.
1137,SystemSoft,Japan,1985,No longer publishes video games.
1138,SystemSoft Beta,Japan,1999,"Subsidiary of Nippon Ichi Software, successor of SystemSoft Alpha[39]"
1139,T&E Soft,Japan,1982,Merged into Spike Chunsoft in 2013
1140,TDK Mediactive,United States,1990,American software publishing arm of TDK. Defunct in 2003.
1141,THQ,United States,1989,"Developer/publisher; defunct in 2013; their assets were acquired by Nordic Games, 505 Games, or Gearbox Software[41]"
1142,THQ Nordic,AustriaSweden,2011,Developer/publisher
1143,TT Games,UK,2005,Also a video game developer. Merger of Giant Interactive Entertainment and Traveller's Tales. Acquired by Warner Bros. Interactive.
1144,Tactics,Japan,1997,"Acquired by Nexton in 1999, which has continued to use the Tactics brand on some games."
1145,Tag Games,United Kingdom,2006,
1146,Taito,Japan,1953,Developer/publisher; acquired by Square Enix
1147,Takara,Japan,1955,Merged with Tomy in 2006.
1148,Take-Two Interactive,United States,1993,"Also owns publishers Rockstar Games, 2K Games (2K Sports), and Private Division. Also a video game developer."
1149,TaleWorlds Entertainment,Turkey,2005,
1150,TalonSoft,United States,1995,"Also a video game developer. Acquired by Take-Two Interactive, name retired."
1151,Tamsoft,Japan,1992,
1152,Tandy Corporation,United States,1919,Ceased publishing games in 1989.
1153,Tango Gameworks,Japan,2010,"Acquired by ZeniMax Media in 2010, and founded by Shinji Mikami."
1154,Tantalus Media,Australia,1994,
1155,Tantrumedia,United Kingdom,2003,
1156,Tarsier Studios,Sweden,2004,Acquired by Embracer Group in 2019.[40]
1157,Tate Multimedia,Poland,2002,
1158,Taxan,Japan,1981,No longer publishes video games.
1159,Team Bondi,Australia,2003,Closed in 2011
1160,Team Ico,Japan,1997,Division of Japan Studio; Their staffs moved to genDESIGN [ja]
1161,Team Ninja,Japan,1995,Division of Koei Tecmo Games; formerly a division of Tecmo
1162,Team Shanghai Alice,Japan,1996,
1163,Team17,United Kingdom,1990,
1164,TecMagik,United States,1991,Also a video game developer.
1165,Techland,Poland,1991,Developer/publisher
1166,Technical Group Laboratory,Japan,1984,Also known as TGL.
1167,Technology and Entertainment Software,Japan,1982,Also known as T&E Soft. Ceased publishing video games in 2002.
1168,Technos Japan,Japan,1981,Also a video game developer. Assets acquired by Atlus.
1169,Technosoft,Japan,1980,Acquired by Twenty-one Company in 2001.
1170,Tecmo,Japan,1967,Tecmo and Koei co-founded Koei Tecmo Holdings in 2009 and Tecmo was merged into Koei Tecmo Games in 2010
1171,Tectoy,Brazil,1987,
1172,Telarium,United States,1984,Defunct in 1987.
1173,Telenet Japan,Japan,1983,Defunct in 2007.
1174,Telesys,United States,1982,Defunct in 1984.
1175,Telltale Games,United States,2004,Founded by former employees of LucasArts
1176,Tencent,China,1998,"Developer, publisher, online services company"
1177,Tencent Games,China,2003,Division of Tencent Interactive Entertainment
1178,Tengen,United States,1987,Console publishing arm of Atari Games. Folded into Time Warner Interactive in 1994.
1179,Tequila Works,Spain,2009,
1180,Terminal Reality,United States,1994,Closed in 2013
1181,Tetris Online,United States,2006,Closed in 2019
1182,Texas Instruments,United States,1930,Exited the video game industry in 1984.
1183,Teyon,Poland,2006,
1184,Thalamus Ltd,UK,1986,Defunct in 1993.
1185,Thalion Software,Germany,1988,Defunct in 1994.
1186,Thatgamecompany,United States,2006,
1187,The 3DO Company,United States,1991,Also a video game and video game console developer.
1188,The Adventure Company,Canada,2002,"Label of DreamCatcher Interactive until 2006, of JoWooD Productions Software from then until 2011, and of Nordic Games since then."
1189,The Bitmap Brothers,United Kingdom,1987,Dissolved.[4][5] Their portfolio was acquired by Rebellion Developments in 2019.[6]
1190,The Chinese Room,United Kingdom,2007,Subsidiary of Sumo Digital
1191,The Coalition,Canada,2010,Subsidiary of Microsoft Studios
1192,The Coca-Cola Company,Georgia,1886,No longer publishes video games.
1193,The Dovetail Group,United States,c. 1984,Early developer of music video games
1194,The Elektrik Keyboard,United States,1978,Stopped publishing video games in 1979.
1195,The Farm 51,Poland,2005,
1196,The Fourth Dimension,UK,1989,Also known as The 4th Dimension or 4D. Defunct in 2004.
1197,The Game Factory,Denmark,2004,Defunct.
1198,The Initiative,United States,2018,Subsidiary of Microsoft Studios
1199,The Learning Company,United States,1980,"Merged with Mattel Interactive, no longer publishes video games"
1200,The Pokémon Company,Japan,1998,"Joint venture between Game Freak, Nintendo, and Creatures"
1201,The Vision Factory,The Netherlands,1993,Defunct in 2002.
1202,The9,China,1999,Former regional publisher for World of Warcraft in China
1203,Thin Chen Enterprise,Taiwan,1988,"Also used the labels Sachen, Commin, and Joy Van. Defunct."
1204,Thinking Rabbit,Japan,1982,Defunct.
1205,Thorn EMI Computer Software,UK,1981,Software publishing arm of Thorn EMI. Spun off and reestablished as Creative Sparks in 1984.
1206,Three Fields Entertainment,United Kingdom,2014,Founded by the founders of Criterion Games
1207,Three Rings Design,United States,2001,
1208,Three-Sixty Pacific,United States,1987,Defunct in 1994.
1209,TiMi Studios,China,2008,Subsidiary of Tencent Games
1210,Tiertex Design Studios,UK,1987,Last game published in 2003.
1211,Tiger Electronics,United States,1978,Also a video game developer. Acquired by Hasbro in 1998.
1212,Time Warner Interactive,United States,1993,Merged into Midway Games West in 1996.
1213,TimeGate Studios,United States,1998,
1214,Titus Interactive,France,1985,
1215,Toaplan,Japan,1984,Developer of arcade games; went bankrupt and closed in 1994
1216,ToeJam & Earl Productions,United States,1989 (as Johnson Voorsanger Productions),Founded by Mark Voorsanger and Greg Johnson; became defunct in 2003
1217,Toei Animation,Japan,1956,
1218,Toho,Japan,1932,No longer publishes video games.
1219,Tokuma Shoten,Japan,1954,No longer publishes video games.
1220,Tokyo RPG Factory,Japan,2014,Subsidiary of Square Enix
1221,Tokyo Shoseki,Japan,1909,No longer publishes video games.
1222,Tommo,California,1990,
1223,Tomy (Takara Tomy),Japan,1924,Merged with Takara in 2006.
1224,Tonkin House,Japan,1986,Defunct in 2008.
1225,TopWare Interactive,Germany,1995,Publisher (developing in Reality Pump Studios division)
1226,Topo Soft,Spain,1987,Defunct in 1994.
1227,Topologika,UK,1983,Defunct in 2013.
1228,Torpex Games,United States,2005,
1229,Torus Games,Australia,1994,
1230,Tose,Japan,1979,
1231,Toshiba EMI,Japan,1960,Defunct in 2013.
1232,Towa Chiki,Japan,1986,Defunct in 2001.
1233,Toys for Bob,United States,1989,Subsidiary of Activision
1234,Tradewest,United States,1986,"Acquired by Midway Games, name retired."
1235,Transmission Games,Australia,1996,Closed in 2009
1236,Trapdoor,Canada,2010,
1237,Traveller's Tales,United Kingdom,1990,Subsidiary of TT Games
1238,Treasure,Japan,1992,
1239,Treco,California,1990,Defunct in 1993.
1240,Treyarch,United States,1996,Acquired by Activision in 2001.
1241,Tri Synergy,United States,1996,
1242,Triangle Service,Japan,2002,
1243,Triffix Entertainment,Canada,1991,Last game published in 1992.
1244,Trilobyte Software,United States,1990,"Defunct in 1999, re-established in 2010."
1245,Trion Worlds,United States,2006,Defunct in 2018; their assets were acquired by Gamigo [de][42]
1246,Tripwire Interactive,United States,2005,
1247,Triumph Studios,Netherlands,1997,Acquired by Paradox Interactive
1248,Tru Blu Entertainment,Australia,1999,
1249,Tsunami Games,United States,1991,Sold to Tsunami Media Corporation in 1999.
1250,Turn 10 Studios,United States,2001,Subsidiary of Microsoft Studios
1251,Turtle Rock Studios,United States,2002,
1252,Twilight Frontier,Japan,2002,
1253,Two Point Studios,United Kingdom,2016,Formed by former employees of Lionhead Studios; acquired by Sega in 2019
1254,Two Tribes,Netherlands,2000,
1255,Tynesoft,UK,1983,Exited the video game industry in 1991.
1256,Type-Moon,Japan,2000,
1257,Typhoon Games (HK),China,2001,Subsidiary of Typhoon Entertainment (Asia)
1258,U.S. Gold,UK,1984,Also a video game developer. Acquired by Eidos Interactive.
1259,UEP Systems,Japan,1985,Defunct in 2001
1260,UFO Interactive Games,California,1999,Label of Tommo.
1261,US Games,United States,1978,Acquired by Quaker Oats in 1982. Defunct in 1983.
1262,Ubisoft,France,1986,Developer/publisher
1263,Ubisoft Blue Byte,Germany,1988,Acquired by Ubisoft
1264,Ubisoft Reflections,United Kingdom,1984,Acquired by Ubisoft
1265,Ultimate Play the Game,United Kingdom,1982,Predecessor to Rare; Defunct in 1988
1266,Ultra Games,United States,1988,Shell company and publishing label for Konami. Name retired in 1992.
1267,Ultrasoft,Slovakia,1989,Defunct in 1998.
1268,Undead Labs,United States,2009,Acquired by Microsoft Studios in 2018
1269,United Front Games,Canada,2006,Defunct in 2016
1270,United Game Artists,Japan,1996,Subsidiary of Sega
1271,United States Army,United States,1775,
1272,Universal Entertainment Corporation,Japan,1969,
1273,Universomo,Finland,2002,Defunct in 2010
1274,UserJoy Technology,Taiwan,1995,
1275,VAP,Japan,1981,No longer publishes video games.
1276,VEB Polytechnik,Germany,1870,Defunct in 2006.
1277,Valcon Games,United States,2005,No longer active.
1278,Valve,United States,1996,"Developer, publisher and distributor"
1279,Vanillaware,Japan,2002,
1280,Vanpool,Japan,1999,Formed by former employees of Love-de-Lic
1281,Varie,Japan,1986,Defunct in 1997.
1282,Vectorbeam,United States,1978,Acquired by Cinematronics in 1980.
1283,Venan Entertainment,United States,2002,Their assets were acquired by Megaspace Industries.
1284,Viacom,United States,1952,Published video games under the Viacom New Media label. Company split in 2005.
1285,Vic Tokai,Japan,1977,No longer publishes video games.
1286,Vicarious Visions,United States,1990,Acquired by Activision in 2004.
1287,Victor Interactive,Japan,1970,Subsidiary of JVC. Merged with Pack-In-Video in 1996. Acquired by Marvelous Entertainment in 2003; defunct in 2007.
1288,Vigil Games,United States,2005,Subsidiary of THQ; defunct in 2013
1289,Virgin Interactive,UK,1983,"Also a video game developer. Known as Virgin Games until 1993. American branch acquired and closed by Electronic Arts in 1998, European branch acquired by Titus Software in 1999, and re-branded to Avalon Interactive in 2003. Stopped publishing games after 2002."
1290,Virgin Play,Spain,1995,Known as Virgin Interactive Espana SA until 2002. Filed for liquidation in 2009.
1291,Virtual Heroes,United States,2004,
1292,Virtual Programming,UK,2000,
1293,Virtuos,Singapore,2004,
1294,Visceral Games,United States,1998,"Formerly known as EA Redwood Shores, former in-house development studio and subsidiary of Electronic Arts, closed in 2017."
1295,Visco Corporation,Japan,1982,No longer publishes video games.
1296,Visual Concepts,United States,1988,Subsidiary of 2K Sports
1297,VisualArt's,Japan,1991,
1298,Vivarium Inc.,Japan,1993,"Previously known as OPeNBooK Co., Ltd."
1299,Vivendi Games,California United States,1993,Merged with Activision to form Activision Blizzard in 2008.
1300,Vortex Software,UK,1981,Defunct in 1990.
1301,Vostok Games,Ukraine,2012,"Vostok Games was founded in March 2012 by former employees of GSC Game World, following that firm's closing"
1302,VoxelStorm,United Kingdom,2012,
1303,Vulcan Software,UK,1994,
1304,WARP,Japan,1994,"Exited the video game industry in 1999, defunct in 2005."
1305,WB Games - Avalanche (formerly Avalanche Software),United States,1995,Subsidiary of Disney Interactive Studios; defunct in 2016Relaunched by Warner Bros. in 2017.
1306,WB Games Boston (formerly Turbine),United States,1994,Subsidiary of Warner Bros. Interactive Entertainment
1307,Wahoo Studios,United States,2001,
1308,Wales Interactive,UK,2012,Also a video game developer.
1309,Walnut Creek CDROM,United States,1991,Merged with Berkeley Software Design in 2000.
1310,Wanadoo Edition,France,2000,Software publishing arm of Wanadoo. Defunct in 2003.
1311,Warashi,Japan,1995,
1312,Wargaming,CyprusBelarus,1998,Developer/publisher
1313,Wargaming Saint Petersburg,Russia,1991,Subsidiary of Wargaming
1314,Wargaming Seattle,United States,1998,Subsidiary of Wargaming
1315,Warhorse Studios,Czech Republic,2011,Acquired by Koch Media in 2019
1316,Warner Bros. Interactive,United States,1993,Also publishes under the Portkey Games label.
1317,Warner Bros. Interactive Entertainment,United States,1988,Division of Warner Bros. Entertainment which is a subsidiary of WarnerMedia
1318,WeMade,South Korea,2000,
1319,Webfoot Technologies,United States,1993,Creators of many Dragon Ball Z games for Atari; specializes in Nintendo platforms
1320,Webzen,South Korea,2000,Also a video game developer.
1321,Westone Bit Entertainment,Japan,1986,Bankrupt and became defunct in 2014
1322,Westwood Studios,United States,1985,Acquired by Electronic Arts in 1998 and closed in 2003.
1323,Wideload Games,United States,2003,Subsidiary of Disney Interactive Studios; closed in 2014
1324,WildTangent,United States,1998,Acquired by Gamigo AG [de] in 2019.
1325,Wildfire Studios,Australia,1995,
1326,Williams Electronics,United States,1943,Exited the video game industry in 1998.
1327,Windham Classics,United States,1984,Published last game in 1985.
1328,Windmill,Japan,2002,Publishes under the Windmill Oasis label.
1329,Windmill Software,Canada,1982,Defunct in 1984.
1330,Winkysoft,Japan,1983,Defunct in 2015.
1331,Wisdom Tree,United States,1989,Known for Christian-themed games.
1332,WizardWorks,United States,1990,Acquired by GT Interactive in 1996. Defunct in 2004.
1333,Wizet studio (Nexon development 1st division),South Korea,1999,Acquired by Nexon and became to its division
1334,Wolf Team,Japan,1986,Acquired by Namco in 2003.
1335,Wolfire Games,United States,2003,
1336,Working Designs,United States,1986,Specialized in the localization of Japan-native RPGs.
1337,World Forge,Russia,2004,Founded by Burut Creative Team employees.
1338,XPEC Entertainment,Taiwan,2000,Developer/publisher
1339,XS Games,United States,2002,
1340,XSEED Games,United States,2005,
1341,Xbox Game Studios,United States,2002,"First-party developer, publisher, and console manufacturer; established as Microsoft Game Studios"
1342,Xicat Interactive,United States,1997,Defunct in 2005.
1343,Xonox,United States,1983,Defunct in 1984.
1344,Yager Development,Germany,1999,
1345,Yeti,Japan,2005,
1346,Yojigen,Japan,1994,Defunct.
1347,Yonezawa PR21,Japan,1988,Also known as Party Room 21. Acquired by Sega in 1994; defunct in 1998.
1348,Yuke's,Japan,1993,
1349,Yutaka,Japan,1990,Defunct in 2003 following merger with Popy.
1350,ZAPiT Games,Canada,2003,Defunct.
1351,Zaccaria,Italy,1974,Defunct in 1988.
1352,Zen Studios,Hungary,2003,Acquired by Embracer Group in 2020.[18]
1353,ZeniMax Media,United States,1999,Also owns publisher Bethesda Softworks. Acquired by Microsoft in 2020
1354,ZeniMax Online Studios,United States,2007,Subsidiary of ZeniMax Media Inc
1355,Zenobi,UK,1982,
1356,Zeppelin Games,UK,1987,"Acquired by Merit Studios Inc. in 1994 and renamed to Merit Studios Europe. Subsequently, regained independence in 1996 and reestablished itself as Eutechnyx. No longer publishes its own games."
1357,Zigurat,Spain,1986,Published last game in 1992.
1358,Zimag,United States,1982,Publishing label of Magnetic Tape International. Defunct in 1983.
1359,Zipper Interactive,United States,1995,Shut down in 2012 by Sony Computer Entertainment
1360,Zombie Studios,United States,1994,
1361,Zoom,Japan,1988,
1362,ZootFly,Slovenia,2002,Acquired by Elektroncek
1363,Zushi Games,UK,1999,
1364,Zuxxez Entertainment,Germany,2001,Acquired TopWare Interactive in 2001. Renamed itself to TopWare Interactive in 2005. Name retired.
1365,Zynga,United States,2007,Social network game developer.
1366,dB-SOFT,Japan,1980,Defunct in 2001.
1367,devCAT Studios (Nexon development 3rd division),South Korea,2001,Division of Nexon Korea
1368,eGames,United States,1992,Published games under the Cinemaware Marquee label. Acquired by Tamino Minerals in 2012.
1369,feelplus,Japan,1992,Merged into AQ Interactive
1370,h.a.n.d.,Japan,1993,
1371,iQue,China,2002,Joint venture between Wei Yen and Nintendo.
1372,id Software,United States,1991,"Acquired by ZeniMax Media on June 24, 2009"
1373,inXile Entertainment,United States,2002,Founded by one of Interplay Entertainment founders; acquired by Microsoft Studios in 2018
1374,index+,France,1992,Merged with France Telecom Multimedia in 2000 to become Wanadoo Edition.
1375,indiePub Entertainment,United States,2008,
1376,indieszero,Japan,1997,
1377,magnussoft,Germany,1984,
1378,miHoYo,China,2012,"Developer and publisher; founded by Cai Haoyu, Liu Wei, and Luo Yuhao, three former students from Shanghai Jiao Tong University"
1379,n-Space,United States,1994,
1380,reLINE Software,Germany,1987,Defunct in 2004.
1381,skip Ltd.,Japan,2000,Formed by former employees of Love-de-Lic
1382,tri-Ace,Japan,1995,Acquired by Nepro Japan (currently NJ Holdings [ja]) in 2015
1383,tri-Crescendo,Japan,1999,
1384,Âge,Japan,1999,"Division of Acid Co., Ltd."
